Country Code;Country Label;City;Location;Coordinates;Pollutant;Value;Unit;Last Updated;Source Name
;;;;48.9025040001429,2.452500000264972;;23.0;;2026-01-19T05:00:00Z;
;;;;43.8303,87.5801;;14.0;;2021-08-09T11:00:00Z;
;;;;59.43347100001061,10.661762360232748;;2.707036;;2026-01-19T06:00:00Z;
;;;;34.9058,108.9344;;24.0;;2021-08-09T11:00:00Z;
;;;;48.37657599981851,10.888370000280668;;16.27;;2026-01-19T05:00:00Z;
;;;;45.808215928423095,15.995745623062676;;51.04749984741212;;2026-01-19T09:00:00Z;
;;;;36.66608,127.474924;;27.0;;2026-01-19T08:00:00Z;
;;;;37.7011,-97.3139;;3.7;;2026-01-19T08:00:00Z;
;;;;16.4436,103.51299999999999;;63.8;;2026-01-19T08:00:00Z;
;;;;-33.964589999999994,22.475761000000002;;10.418;;2024-03-12T10:00:00Z;
;;;;-41.159,146.146;;0.0;;2025-11-27T12:54:06Z;
;;;;18.362008,103.65977000000001;;22.3;;2026-01-19T08:00:00Z;
;;;;37.64593,-118.96653;;33.0;;2024-03-16T04:00:00Z;
;;;;48.141249999538644,16.300082999567955;;-1.0;;2026-01-19T07:00:00Z;
;;;;53.30740000010482,11.373299999648415;;17.69;;2026-01-19T05:00:00Z;
;;;;31.350799999999996,118.3528;;37.0;;2020-12-31T15:00:00Z;
;;;;13.771263,100.434679;;24.06944465637207;;2024-03-29T09:00:00Z;
;;;;48.6775199997656,9.22940300012656;;16.0;;2026-01-19T05:00:00Z;
;;;;54.436984999994195,12.721938000327013;;3.06;;2024-07-30T11:00:00Z;
;;;;49.82516500015017,8.51679799955829;;15.943;;2026-01-19T05:00:00Z;
;;;;35.15774199999999,126.810097;;8.0;;2026-01-19T08:00:00Z;
;;;;49.25434399983347,6.8677440001926;;20.31;;2026-01-19T05:00:00Z;
;;;;37.645984,-118.966677;;13.0;;2024-09-08T15:00:00Z;
;;;;51.15484299972151,9.031754000448155;;10.0811987;;2026-01-19T05:00:00Z;
;;;;23.359399999999997,104.25329999999998;;9.0;;2021-08-09T11:00:00Z;
;;;;51.22760899972971,7.643095000138204;;9.599;;2026-01-19T05:00:00Z;
;;;;50.5671850002032,8.50061899993149;;11.190999;;2026-01-19T05:00:00Z;
;;;;31.205899999999996,121.39020000000001;;22.0;;2021-08-09T11:00:00Z;
;;;;53.14130299973382,13.031661999730028;;2.61;;2024-07-30T11:00:00Z;
;;;;51.019338000233795,6.884571000447916;;12.562;;2026-01-19T05:00:00Z;
;;;;18.7888833,100.7763166;;27.2;;2026-01-07T23:00:00Z;
;;;;50.65406600025244,10.76953400035172;;6.88;;2024-07-30T10:00:00Z;
;;;;47.913256000093746,7.908035000221121;;4.34;;2024-07-30T11:00:00Z;
;;;;47.815854999743216,13.720736999564965;;-1.0;;2026-01-19T07:00:00Z;
;;;;-14.806034,-71.414847;;2.5;;2025-12-04T00:05:00Z;
;;;;54.924966999767136,8.308208000317988;;3.53;;2024-07-30T11:00:00Z;
;;;;37.433297,129.19049599999997;;12.0;;2024-07-11T14:00:00Z;
;;;;51.09763799992601,6.46946300030611;;19.923;;2026-01-19T05:00:00Z;
;;;;36.767778,127.605;;9999.0;;2024-07-11T16:00:00Z;
;;;;40.4783,-79.970377;;14.9495628718027;;2022-02-09T00:00:00Z;
;;;;59.3667459,17.9688665;;12.0;;2026-01-19T09:00:00Z;
;;;;34.811454,126.483199;;15.0;;2026-01-19T08:00:00Z;
;;;;38.932993,-119.971733;;3.0;;2018-09-10T22:00:00Z;
;;;;37.433297,129.19049599999997;;31.0;;2026-01-19T08:00:00Z;
;;;;40.740022,-73.998504;;8.869196471004258;;2026-01-19T09:00:00Z;
;;;;36.212814,-118.8134089;;12.327083333333334;;2026-01-19T09:00:00Z;
;;;;29.864581,-97.664869;;3.6;;2026-01-19T08:00:00Z;
;;;;29.862294,-97.928894;;7.6;;2026-01-19T08:00:00Z;
;;;;30.666508,-97.734592;;2.9;;2024-12-20T14:00:00Z;
;;;;30.579149,-97.416462;;2.2;;2026-01-19T08:00:00Z;
;;;;50.84966500000001,4.33382;;9.75;;2024-01-29T20:00:00Z;
;;;;35.177167,127.175167;;15.0;;2026-01-19T08:00:00Z;
;;;;36.828034,127.104606;;12.0;;2026-01-19T08:00:00Z;
;;;;51.111194,4.3623073;;42.85;;2026-01-19T09:00:00Z;
;;;;42.702223,-73.110414;;7.0;;2026-01-19T08:00:00Z;
;;;;35.581007682165485,-80.90851032043253;;7.0;;2024-03-15T17:00:00Z;
;;;;32.805818,-97.356567;;2.0;;2026-01-18T12:00:00Z;
;;;;52.207899,21.148612;;60.996166483561204;;2026-01-19T09:00:00Z;
;;;;48.12027777946647,14.878332999999996;;23.70000076;;2024-01-29T18:00:00Z;
;;;;32.56663,-117.01885;;7.06;;2025-09-19T19:59:37Z;
;;;;32.56676,-117.06452;;4.83;;2025-09-03T04:32:13Z;
;;;;32.56513,-117.04539;;2.94;;2025-02-27T22:50:40Z;
;;;;31.768056,-106.501111;;4.8;;2021-11-10T17:00:00Z;
;;;;32.56193,-117.05775;;5.24;;2025-09-03T04:06:05Z;
;;;;32.55865,-117.04821;;7.33;;2025-09-19T19:56:18Z;
;;;;32.54631,-117.04527;;8.47;;2025-09-19T19:58:42Z;
;;;;32.5473,-117.03227;;7.47;;2025-09-19T20:01:45Z;
;;;;32.54931,-117.04225;;7.82;;2025-09-19T20:03:32Z;
;;;;43.627929,-108.218095;;1.0;;2023-01-26T20:00:00Z;
;;;;18.517754,73.8214883;;17.5;;2022-07-11T05:15:00Z;
;;;;38.754595,-82.917;;6.8;;2026-01-19T08:00:00Z;
;;;;35.8583333333,128.58972222219998;;26.0;;2026-01-19T08:00:00Z;
;;;;35.837878999999994,128.488731;;30.0;;2026-01-19T08:00:00Z;
;;;;42.2867,123.84860000000002;;12.0;;2021-08-09T11:00:00Z;
;;;;37.449479,127.155512;;25.0;;2026-01-19T08:00:00Z;
;;;;21.4688,111.0286;;7.0;;2021-08-09T11:00:00Z;
